observation_date,COLCP040000IXNBQ
2009-01-01,67.1799991446824
2009-04-01,68.2439411969102
2009-07-01,68.7968294443108
2009-10-01,69.2836201587684
2010-01-01,70.0118230828856
2010-04-01,70.9600113596878
2010-07-01,71.5018870446102
2010-10-01,72.0205632266859
2011-01-01,72.7699492689707
2011-04-01,73.4956926469409
2011-07-01,74.2808196616150
2011-10-01,74.9509241172854
2012-01-01,75.9754691150135
2012-04-01,76.3966497741427
2012-07-01,76.9209319487879
2012-10-01,77.4290830460001
2013-01-01,78.0616517253361
2013-04-01,78.8843145163446
2013-07-01,79.2840461604255
2013-10-01,79.6943693635902
2014-01-01,80.3987302007324
2014-04-01,81.4923862293855
2014-07-01,82.2577482425895
2014-10-01,82.8413032635715
2015-01-01,83.3766666666667
2015-04-01,84.5966666666666
2015-07-01,85.5700000000000
2015-10-01,86.9433333333333
2016-01-01,88.6466666666667
2016-04-01,89.6433333333333
2016-07-01,90.6866666666667
2016-10-01,91.2266666666666
2017-01-01,92.4000000000000
2017-04-01,93.8600000000000
2017-07-01,94.4966666666667
2017-10-01,95.4433333333333
2018-01-01,96.3033333333333
2018-04-01,97.9300000000000
2018-07-01,98.7666666666667
2018-10-01,99.7000000000000
2019-01-01,100.6600000000000
2019-04-01,101.9900000000000
2019-07-01,102.5433333333330
2019-10-01,103.2133333333330
2020-01-01,104.0233333333330
2020-04-01,104.4100000000000
2020-07-01,104.3600000000000
2020-10-01,104.9333333333330
2021-01-01,105.9100000000000
2021-04-01,107.1533333333330
2021-07-01,107.8933333333330
2021-10-01,108.8766666666670
2022-01-01,110.4433333333330
2022-04-01,112.8633333333330
2022-07-01,115.0133333333330
2022-10-01,116.4400000000000
2023-01-01,118.5000000000000
2023-04-01,121.9800000000000
2023-07-01,124.1733333333330
